concept_id,part_of_speech,lemmas,arabizi,english_lemmas,gloss,english_gloss
103485,3,داق,da9,savor | savour | taste,NO_GLOSS,have flavor; taste of something
103545,3,شرى,chra,buy | purchase,NO_GLOSS,obtain by purchase; acquire by means of a financial transaction
103706,3,باع,ba3,sell,NO_GLOSS,exchange or deliver for money or its equivalent
103749,3,خلص,khllS,pay,NO_GLOSS,"give money, usually in exchange for goods or services"
103922,3,ودّر,khsr,lose,NO_GLOSS,"fail to keep or to maintain; cease to have, either physically or in an abstract sense"
104503,3,طيّح,,bring down | overthrow | overturn | subvert,NO_GLOSS,cause the downfall of; of rulers
104551,3,خدم,khdm,work,NO_GLOSS,exert oneself by doing mental or physical work for a purpose or out of necessity
104595,3,خلَى,khlla,allow | let | permit,NO_GLOSS,make it possible through a specific action or lack of action for something to happen
104937,3,تحبس,,gaol | immure | imprison | incarcerate | jail | jug | lag | put away | put behind bars | remand,NO_GLOSS,"lock up or confine, in or as in a jail"
105660,3,سْكن,sken,dwell | inhabit | live,NO_GLOSS,inhabit or live in
106203,3,صبت الشتا | طاحت الشتا,,rain | rain down,NO_GLOSS,precipitate as rain
106397,4,بعض المرات | شي خطرات | شي مرات,,sometimes,NO_GLOSS,on certain occasions or in certain cases but not always
106398,4,بحال | كِـ,b7al,as | equally | every bit,NO_GLOSS,to the same degree (often followed by `as')
106422,4,فشي بلاصة | فشي موضع,,someplace | somewhere,NO_GLOSS,in or at or to some place
106478,4,بالزاف | غالبا | غالبا ما,,frequently | oft | often | oftentimes | ofttimes,NO_GLOSS,many times at short intervals
106491,4,بالصح,,genuinely | really | truly,NO_GLOSS,in accordance with truth or fact or reality
106551,4,اليوم,,now | nowadays | today,NO_GLOSS,in these times
106554,4,دابا | دورك,,at present | now,NO_GLOSS,at the present moment
106793,4,بالزربة,,apace | chop-chop | quickly | rapidly | speedily,NO_GLOSS,with rapid movements
107190,4,وقيل,,belike | in all likelihood | in all probability | likely | probably,NO_GLOSS,with considerable certainty; without much doubt
109616,4,غدا,,tomorrow,NO_GLOSS,"the next day, the day after, following the present day"
3,1,وصف,waSf,description | verbal description,NO_GLOSS,a statement that represents something in words
6,1,طرف,Terf,component | component part | part | portion,NO_GLOSS,something determined in relation to something that includes it
12,2,متشابه,mtchab8,similar,NO_GLOSS,marked by correspondence or resemblance
14,1,عضو,3oDw,member,NO_GLOSS,one of the persons who compose a social group (especially individuals who have joined and participates in a group organization)
45,1,معرفة,ma3rifa,cognition | knowledge | noesis,NO_GLOSS,the psychological result of perception and learning and reasoning
59,1,مجموعة,mjmo3a,group | grouping,NO_GLOSS,any number of entities (members) considered as a unit
64,1,كمية,kimmiya,amount | measure | quantity,NO_GLOSS,how much there is of something that you can quantify
105,1,كتيشاف,ktichaf,discovery | find | uncovering,NO_GLOSS,the act of discovering something
249,1,خطأ,khaTa2,error | fault | mistake,NO_GLOSS,a wrong action attributable to bad judgment or ignorance or inattention
362,1,توصيل,tawSil,deliverance | delivery | rescue | saving,NO_GLOSS,recovery or preservation from loss or danger
629,1,مقارنة,mo9arana,comparing | comparison,NO_GLOSS,examining resemblances or differences
1022,1,قتيلة,9tila,execution | murder | slaying,NO_GLOSS,unlawful premeditated killing of a human being by a human being
1036,1,نتحار,nti7ar,self-annihilation | self-destruction | suicide,NO_GLOSS,the act of killing yourself
1261,1,عناية,3inaya,care | maintenance | upkeep,NO_GLOSS,activity involved in maintaining something in good working order
1343,1,مشية,mechya,walk | walking,NO_GLOSS,the act of traveling by foot
1415,1,سفر,safar,travel | traveling | travelling,NO_GLOSS,the act of going from one place to another
1484,1,رحلة,ri7la,trip,NO_GLOSS,a journey for some purpose (usually including the return)
1501,1,دورة,Dora,circuit | tour,NO_GLOSS,a journey or route all the way around a particular place or area
2253,1,الصيد,SSayd,fishing | sportfishing,NO_GLOSS,the act of someone who fishes as a diversion
2576,1,برنامج,barnamaj,show,NO_GLOSS,the act of publicly exhibiting or entertaining
2593,1,رياضة,riyaDa,athletics | sport,NO_GLOSS,an active diversion requiring physical exertion and competition
2913,1,كاريير,carriere,calling | career | vocation,NO_GLOSS,the particular occupation for which you are trained
3219,1,بحت,ba7t,research,NO_GLOSS,systematic investigation to establish facts
3640,1,مهمة,mohimma,duty,NO_GLOSS,work that you are obliged to perform for moral or legal reasons
3792,1,دعارة,da3ara,harlotry | prostitution | whoredom,NO_GLOSS,offering sexual intercourse for pay
3851,1,إرهاب,ir8ab,act of terrorism | terrorism | terrorist act,NO_GLOSS,the calculated use of violence (or threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear
3866,1,جريمة,jarima,crime | law-breaking,NO_GLOSS,(criminal law) an act punishable by law; usually considered an evil act
3876,1,حتيال,7tyal,fraud,NO_GLOSS,intentional deception resulting in injury to another person
3933,1,شفرة,chfra,larceny | stealing | theft | thievery | thieving,NO_GLOSS,the act of taking something from someone unlawfully
3936,1,سرقة,sr9a,robbery,NO_GLOSS,larceny by threat of violence
3964,1,محاولة,mo7awala,attempt | effort | endeavor | endeavour | try,NO_GLOSS,earnest and conscientious activity intended to do or accomplish something
4194,1,تنفس,tanffos,breathing | external respiration | respiration | ventilation,NO_GLOSS,the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation
4212,1,نفس,nefs,breath,NO_GLOSS,the process of taking in and expelling air during breathing
4262,1,جنس,jins,sex | sex activity | sexual activity | sexual practice,NO_GLOSS,activities associated with sexual intercourse
4267,1,مؤتمر,mo2tamar,carnal knowledge | coition | coitus | congress | copulation | intercourse | relation | sex act | sexual congress | sexual intercourse | sexual relation,NO_GLOSS,the act of sexual procreation between a man and a woman; the man's penis is inserted into the woman's vagina and excited until orgasm and ejaculation occur
4309,1,راس,rass,head | oral sex,NO_GLOSS,oral stimulation of the genitals
4460,1,تعليم,t3lim,didactics | education | educational activity | instruction | pedagogy | teaching,NO_GLOSS,the activities of educating or instructing; activities that impart knowledge or skill
4711,1,كتبة,ktba,authorship | composition | penning | writing,NO_GLOSS,the act of creating written works
4797,1,خدمة,khdma,employment | exercise | usage | use | utilisation | utilization,NO_GLOSS,the act of using
4829,1,معركة,m3raka,battle | conflict | engagement | fight,NO_GLOSS,a hostile meeting of opposing military forces in the course of a war
4841,1,معركة,m3raka,battle | conflict | struggle,NO_GLOSS,an open clash between two opposing groups (or individuals)
4902,1,حرب,7arb,war | warfare,NO_GLOSS,the waging of armed conflict against an enemy
5170,1,إجراء,ijra2,procedure | process,NO_GLOSS,a particular course of action intended to achieve a result
5213,1,كنيسة,kanisa,church | church service,NO_GLOSS,a service conducted in a house of worship
5527,1,تجارة,tijara,commerce | commercialism | mercantilism,NO_GLOSS,transactions (sales and purchases) having the objective of supplying commodities (goods and services)
5528,1,باع و شرا,ba3 o chra,trade,NO_GLOSS,the commercial exchange (buying and selling on domestic or international markets) of goods and services
5557,1,مالية,malia,finance,NO_GLOSS,the commercial activity of providing funds and capital
5723,1,مهمة,mohimma,duty | obligation | responsibility,NO_GLOSS,the social force that binds you to the courses of action demanded by that force
5743,1,إتجاه,ittijah,direction | management,NO_GLOSS,the act of managing something
5898,1,إعدام,i3dam,capital punishment | death penalty | executing | execution,NO_GLOSS,putting a condemned person to death
6078,1,طلاق,Tla9,divorce | divorcement,NO_GLOSS,the legal dissolution of a marriage
6251,1,زيارة,zyara,visit,NO_GLOSS,the act of going to see some person or place or thing for a short time
6283,1,تورّط,tawarroT,engagement | involution | involvement | participation,NO_GLOSS,the act of sharing in the activities of a group
6315,1,إبادة,ibada,genocide | race murder | racial extermination,NO_GLOSS,systematic killing of a racial or cultural group
6359,1,ستعمار,sti3mar,colonisation | colonization | settlement,NO_GLOSS,the act of colonizing; the establishment of colonies
7986,1,نسر,nsr,bird of jove | eagle,NO_GLOSS,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
8591,1,حنش,7nch,ophidian | serpent | snake,NO_GLOSS,limbless scaly elongate reptile; some are venomous
9405,1,كوالا,koala,kangaroo bear | koala | koala bear | native bear | phascolarctos cinereus,NO_GLOSS,sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
9430,1,عجل,3jl,calf,NO_GLOSS,young of domestic cattle
11008,1,حشرة,7achara,insect,NO_GLOSS,small air-breathing arthropod
11233,1,ناموسة,namousa,mosquito,NO_GLOSS,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
12073,1,ڭنفود,gnfoud,hedgehog | porcupine,NO_GLOSS,relatively large rodents with sharp erectile bristles mingled with the fur
12338,1,بغل,bghl,mule,NO_GLOSS,hybrid offspring of a male donkey and a female horse; usually sterile
12351,1,وحيد لقرن,wa7id l9arn,rhino | rhinoceros,NO_GLOSS,massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
14029,1,كليم,clim,air conditioner | air conditioning,NO_GLOSS,a system that keeps air cool and dry
14030,1,طيارة,Tiyyara,aircraft,NO_GLOSS,a vehicle that can fly
14054,1,طيارة,Tyyara,aeroplane | airplane | plane,NO_GLOSS,an aircraft that has a fixed wing and is powered by propellers or jets
14056,1,مطار,maTar,aerodrome | airdrome | airport | drome,NO_GLOSS,an airfield equipped with control tower and hangers as well as accommodations for passengers and cargo
14190,1,صالة,Sala,antechamber | anteroom | entrance hall | foyer | hall | lobby | vestibule,NO_GLOSS,a large entrance or reception room or area
14234,1,بارتمة,partma,apartment | flat,NO_GLOSS,a suite of rooms usually on one floor of an apartment house
14244,1,حوايج,7wayj,apparel | clothes | dress | wearing apparel,NO_GLOSS,clothing in general
14434,1,شارع,chari3,avenue | boulevard,NO_GLOSS,a wide street or thoroughfare
14438,1,فاس,fas,ax | axe,NO_GLOSS,an edge tool with a heavy bladed head mounted across a handle
14496,1,محفظة,mi7faDa,bag | handbag | pocketbook | purse,NO_GLOSS,a container used for carrying money and small personal items or accessories (especially by women)
14601,1,بريكة,brika,barge | flatboat | hoy | lighter,NO_GLOSS,a flatbottom boat for carrying heavy loads (especially on canals)
14691,1,حمّام,7emmam,bath | bathroom,NO_GLOSS,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
14696,1,حمّام,7emmam,bath | bathing tub | bathtub | tub,NO_GLOSS,a relatively large open container that you fill with water and use to wash the body
14779,1,بيت نعاس,bitn3as,bedchamber | bedroom | chamber | sleeping room,NO_GLOSS,a room used primarily for sleeping
14799,1,صونيط,SoniT,bell,NO_GLOSS,a hollow device made of metal that makes a ringing sound when struck
14824,1,طاولة,Tawila,bench,NO_GLOSS,a long seat for more than one person
14937,1,سبّورة,sbbora,blackboard | chalkboard,NO_GLOSS,sheet of slate; for writing with chalk
15052,1,قنبولة,9nbola,bomb,NO_GLOSS,an explosive device fused to explode under specific conditions
15442,1,نادي,nadi,cabaret | club | nightclub | nightspot,NO_GLOSS,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
15786,1,سقف,s9f,ceiling,NO_GLOSS,the overhead upper surface of a room
16178,1,كبّوط,kbbot,coat,NO_GLOSS,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
16514,1,محكمة,me7kama,court | courtyard,NO_GLOSS,an area wholly or partly surrounded by walls or buildings
16768,1,سدّ,sdd,dam | dike | dyke,NO_GLOSS,a barrier constructed to contain the flow of water or to keep out the sea
16885,1,بيرو,biro,desk,NO_GLOSS,a piece of furniture with a writing surface and usually drawers or other compartments
17124,1,صونيط,SoniT,bell | buzzer | doorbell,NO_GLOSS,a push button at an outer door that gives a ringing or buzzing signal when pushed
17196,1,مجرّ,mjerr,drawer,NO_GLOSS,a boxlike container in a piece of furniture; made so as to slide in and out
17212,1,كسوة,keswa,dress | frock,NO_GLOSS,a one-piece garment for a woman; has skirt and bodice
17353,1,تليفون,tilifon,earphone | earpiece | headphone | phone,NO_GLOSS,electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear
17354,1,طوانڭ,Twang,earring,NO_GLOSS,jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
17390,1,ديال الضو,dyal DDo,electric | electric automobile | electric car,NO_GLOSS,a car that is powered by electricity
17484,1,موطور,moTor,engine,NO_GLOSS,motor that converts thermal energy to mechanical work
17789,1,بياسة,biasa,firearm | piece | small-arm,NO_GLOSS,a portable gun
17924,1,إطاج,iTaj,floor | flooring,NO_GLOSS,the inside lower horizontal surface (as of a room or hallway)
18539,1,ڭيتار,guitar,guitar,NO_GLOSS,a stringed instrument usually having six strings; played by strumming or plucking
18712,1,طربوش,Trbouch,chapeau | hat | lid,NO_GLOSS,headdress that protects the head from bad weather; has shaped crown and usually a brim
18848,1,لوطوروت,lotorot,highway | main road,NO_GLOSS,a major road for any form of motor transport
19513,1,بولا,BoLa,lamp,NO_GLOSS,an artificial source of visible illumination
19555,1,پيسي,pici,laptop | laptop computer,NO_GLOSS,a portable computer small enough to use in your lap
19602,1,ناموسية,namousia,bed | layer,NO_GLOSS,single thickness of usually some homogeneous substance
19664,1,خزانة,khizana,library,NO_GLOSS,a room where books are kept
19900,1,ماكينة,makina,machine,NO_GLOSS,any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
20200,1,جعبة,je3ba,metro | subway | subway system | tube | underground,NO_GLOSS,an electric railway operating below the surface of the ground (usually in a city)
20264,1,دياولي,dyawli,mine,NO_GLOSS,excavation in the earth from which ores and minerals are extracted
20395,1,موطور,moTor,motor,NO_GLOSS,machine that converts other forms of energy into mechanical energy and so imparts motion
20456,1,أداة,adat,instrument | musical instrument,NO_GLOSS,any of various devices or contrivances that can be used to produce musical tones or sounds
20539,1,ڭرافاطة,grafaTa,necktie | tie,NO_GLOSS,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
20893,1,رسم,rasm,painting | picture,NO_GLOSS,graphic art consisting of an artistic composition made by applying paints to a surface
20899,1,قلعة,9l3a,castle | palace,NO_GLOSS,a large and stately mansion
21086,1,قلم,9alam,pencil,NO_GLOSS,a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
21200,1,پيانو,piano,forte-piano | piano | pianoforte,NO_GLOSS,a stringed instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
21218,1,صورة,Sora,icon | ikon | image | picture,NO_GLOSS,a visual representation (of an object or scene or person or abstraction) produced on a surface
21508,1,پيسين,piscine,pool,NO_GLOSS,an excavation that is (usually) filled with water
22302,1,قاعدة,9a3ida,rule | ruler,NO_GLOSS,measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths
22660,1,صرب,Srb,cloaca | sewer | sewerage,NO_GLOSS,a waste pipe that carries away sewage or surface water
22745,1,باطو,baTo,ship,NO_GLOSS,a vessel that carries passengers or freight
22763,1,صدمة,SaDma,cushion | shock | shock absorber,NO_GLOSS,a mechanical damper; absorbs energy of sudden impulses
22859,1,طريطوار,tritwar,pavement | sidewalk,NO_GLOSS,walk consisting of a paved area for pedestrians; usually beside a street or roadway
22872,1,رمز,ramz,sign | signboard,NO_GLOSS,structure displaying a board on which advertisements can be posted
22957,1,صايا,Saya,skirt,NO_GLOSS,cloth covering that forms the part of a garment below the waist
23380,1,دروج,drouj,stairs | steps,NO_GLOSS,a flight of stairs or a flight of steps
23474,1,رويضة,rwiDa,steering wheel | wheel,NO_GLOSS,a handwheel that is used for steering
23636,1,بني,bni,construction | structure,NO_GLOSS,a thing constructed; a complex entity constructed of many parts
24323,1,فوطة,foTa,towel,NO_GLOSS,a rectangular piece of absorbent cloth (or paper) for drying or wiping
24399,1,فخ,fkh,trap,NO_GLOSS,a device in which something (usually an animal) can be caught and penned
24610,1,سليپ,slip,underpants,NO_GLOSS,an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin
24644,1,لقاح,li9a7,vaccine | vaccinum,NO_GLOSS,immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
24826,1,صحافة,Sa7afa,closet | press | wardrobe,NO_GLOSS,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
24917,1,دراع,dra3,arm | weapon | weapon system,NO_GLOSS,any instrument or instrumentality used in fighting or hunting
25121,1,صوفا,Sofa,wool | woolen | woollen,NO_GLOSS,a fabric made from the hair of sheep
25139,1,محل,ma7al,shop | workshop,NO_GLOSS,small workplace where handcrafts or manufacturing are done
25742,1,جودة,jawda,quality,NO_GLOSS,an essential and distinguishing attribute of something or someone
26382,1,شجاعة,chaja3a,braveness | bravery | courage | courageousness,NO_GLOSS,a quality of spirit that enables you to face danger or pain without showing fear
26538,1,كرامة,karama,dignity | self-esteem | self-regard | self-respect | self-worth,NO_GLOSS,the quality of being worthy of esteem or respect
27035,1,صوت,SoT,sound,NO_GLOSS,the particular auditory effect produced by a given cause
27142,1,لغلض,lgholD,corpulency | fleshiness | obesity,NO_GLOSS,more than average fatness
27196,1,درجة الحرارة,darajat l7arara,temperature,NO_GLOSS,the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
27273,1,وزن,wazn,weight,NO_GLOSS,the vertical force exerted by a mass as a result of gravity
27287,1,صحة,Se77a,strength,NO_GLOSS,the property of being physically or mentally strong
27464,1,ميزان,mizan,balance | correspondence | symmetricalness | symmetry,NO_GLOSS,(mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
27567,1,مسافة,masafa,distance,NO_GLOSS,the property created by the space between two objects or points
27686,1,كمية,kimmiya,amount,NO_GLOSS,how much of something is available
27787,1,طول,Tol,length,NO_GLOSS,the linear extent in space from one end to the other; the longest horizontal dimension of something that is fixed in place
27816,1,عمق,3om9,depth,NO_GLOSS,extent downward or backward or inward
27830,1,رتفاع,rtifa3,height | tallness,NO_GLOSS,the vertical dimension of extension; distance from the base of something to the top
27919,1,أفانتاج,avantage,advantage | vantage,NO_GLOSS,the quality of having a superior or more favorable position
28094,1,قوة,9owwa,power | powerfulness,NO_GLOSS,possession of controlling influence
28120,1,سلطة,SolTa,authorisation | authority | authorization | dominance | potency | say-so,NO_GLOSS,the power or right to give orders or make decisions
28138,1,قدرة,9oDra,ability,NO_GLOSS,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
28588,1,عضلة,3aDala,muscle | musculus,NO_GLOSS,one of the contractile organs of the body
28711,1,حاجب,7ajb,brow | eyebrow | supercilium,NO_GLOSS,the arch of hair above each eye
29177,1,دم,dem,blood,NO_GLOSS,the fluid (red in vertebrates) that is pumped by the heart
29200,1,زرّيعة,zrri3a,come | cum | ejaculate | seed | semen | seminal fluid,NO_GLOSS,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
29248,1,دفال,dfal,saliva | spit | spittle,NO_GLOSS,a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches
29262,1,عرق,3r9,vein | vena | venous blood vessel,NO_GLOSS,a blood vessel that carries blood from the capillaries toward the heart
29772,1,كورة,kora,ball | ballock | bollock | egg | nut | orchis | testicle | testis,NO_GLOSS,one of the two male reproductive glands that produce spermatozoa and secrete androgens
29848,1,جمجمة,jmjoma,skull,NO_GLOSS,the bony skeleton of the head of vertebrates
29878,1,jito,jit,jaw,NO_GLOSS,the part of the skull of a vertebrate that frames the mouth and holds the teeth
29886,1,قرجوطة,9rjoTa,pharynx | throat,NO_GLOSS,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
29897,1,جسم,jism,body | torso | trunk,NO_GLOSS,the body excluding the head and neck and limbs
29951,1,ساق,sa9,leg,NO_GLOSS,a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
30074,1,ضفر,Dfr,fingernail,NO_GLOSS,the nail at the end of a finger
30093,1,لور,llour,back | backbone | rachis | spinal column | spine | vertebral column,NO_GLOSS,the series of vertebrae forming the axis of the skeleton and protecting the spinal cord
30210,1,دماغ,dmagh,brain | head | mind | nous | psyche,NO_GLOSS,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
30325,1,ديزاين,design,conception | design | excogitation | innovation | invention,NO_GLOSS,the creation of something in the mind
30468,1,الشمّ,chchmm,olfaction | olfactory modality | sense of smell | smell,NO_GLOSS,the faculty that enables us to distinguish scents
30475,1,طريقة,Tari9a,method,NO_GLOSS,"a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
30499,1,تقنية,ti9nia,technique,NO_GLOSS,a practical method or art applied to some particular task
30518,1,عادة,3aada,habit | wont,NO_GLOSS,an established custom
30590,1,فضول,fDoul,curiosity | wonder,NO_GLOSS,a state in which you want to learn more about something
30663,1,سلطة,SolTa,assurance | authority | confidence | self-assurance | self-confidence | sureness,NO_GLOSS,freedom from doubt; belief in yourself and your abilities
30666,1,شك,chek,doubt | doubtfulness | dubiety | dubiousness | incertitude | uncertainty,NO_GLOSS,the state of being unsure of something
30756,1,الدوق,ddou9,gustatory perception | gustatory sensation | taste | taste perception | taste sensation,NO_GLOSS,the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
31015,1,حلمة,7lma,dream | dreaming,NO_GLOSS,a series of mental images and emotions occurring during sleep
31214,1,تقليد,ta9lid,tradition,NO_GLOSS,an inherited pattern of thought or action
31287,1,دليل,dalil,cogent evidence | proof,NO_GLOSS,any factual evidence that helps to establish the truth of something
31354,1,خاتمة,khatima,conclusion | decision | determination,NO_GLOSS,a position or opinion or judgment reached after consideration
31410,1,ميزة,miza,characteristic | feature,NO_GLOSS,a prominent aspect of something
31631,1,شبح,chaba7,ghost | shade | specter | spectre | spook | wraith,NO_GLOSS,a mental representation of some haunting experience
31714,1,قتراح,9tira7,suggestion,NO_GLOSS,an idea that is suggested
31808,1,ذاكرة,dakira,memory,NO_GLOSS,something that is remembered
31852,1,فلسفة,felsafa,doctrine | ism | philosophical system | philosophy | school of thought,NO_GLOSS,a belief (or system of beliefs) accepted as authoritative by some group or school
31872,1,رأي,ra2y,opinion | popular opinion | public opinion | vox populi,NO_GLOSS,a belief or sentiment shared by most people; the voice of the people
31880,1,إمكانية,imkania,possibility,NO_GLOSS,a future prospect or potential
32036,1,نهاية,ni8aya,end | goal,NO_GLOSS,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
32043,1,غرض,gharaD,aim | design | intent | intention | purpose,NO_GLOSS,an anticipated outcome that is intended or that guides your planned actions
32080,1,نظرية,naDaria,theory,NO_GLOSS,a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
32123,1,علم,3ilm,science | scientific discipline,NO_GLOSS,a particular branch of scientific knowledge
32129,1,هندسة,8ndasa,geometry,NO_GLOSS,the pure mathematics of points and lines and curves and surfaces
32444,1,فيزيك,fizik,natural philosophy | physical science | physics,NO_GLOSS,the science of matter and energy and their interactions
32560,1,جغرافيا,joghrafia,geographics | geography,NO_GLOSS,study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
32967,1,ديمقراطية,dimo9raTia,democracy,NO_GLOSS,the political orientation of those who favor government by the people or by their elected representatives
33149,1,صفحة,Sf7a,page,NO_GLOSS,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
33305,1,كلمة,kelma,word,NO_GLOSS,a unit of language that native speakers can identify
33405,1,حالة,7aala,case | grammatical case,NO_GLOSS,nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence
33430,1,جملة,jomla,phrase,NO_GLOSS,an expression consisting of one or more words forming a grammatical constituent of a sentence
33531,1,سمية,smia,first name | forename | given name,NO_GLOSS,the name that precedes the surname
33650,1,موقع,maw9i3,internet site | site | web site | website,NO_GLOSS,a computer connected to the internet that maintains a series of web pages on the World Wide Web
33689,1,رواية,riwaya,novel,NO_GLOSS,a extended fictional work in prose; usually in the form of a story
33803,1,تكست,text,text | textual matter,NO_GLOSS,the words of something written
33838,1,فصل,faSl,chapter,NO_GLOSS,a subdivision of a written work; usually numbered and titled
34312,1,حياة,7ayat,biography | life | life history | life story,NO_GLOSS,an account of the series of events making up a person's life
34345,1,عقد,3a9d,contract,NO_GLOSS,a binding agreement between two or more persons that is enforceable by law
34421,1,نسخة,noskha,interlingual rendition | rendering | translation | version,NO_GLOSS,a written communication in a second language having the same meaning as the written communication in a first language
34490,1,رخصة,rokhSa,licence | license | permit,NO_GLOSS,a legal document giving official permission to do something
34567,1,باكية,bakia,computer software | package | software | software package | software program | software system,NO_GLOSS,(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
34741,1,موضوع,mawdo3,subject | theme | topic,NO_GLOSS,the subject matter of a conversation or discussion
34825,1,فيلم,film,film | flick | motion-picture show | motion picture | movie | moving-picture show | moving picture | pic | picture | picture show,NO_GLOSS,a form of entertainment that enacts a story by a sequence of images giving the illusion of continuous movement
34878,1,سلك,slk,telegram | wire,NO_GLOSS,a message transmitted by telegraph
34979,1,ذكاء,daka2,intelligence | news | tidings | word,NO_GLOSS,new information about specific and timely events
35139,1,نصيحة,naSi7a,advice,NO_GLOSS,a proposal for an appropriate course of action
35243,1,تصفيق,tSfi9,applause | clapping | hand clapping,NO_GLOSS,a demonstration of approval by clapping the hands together
35362,1,نقد,na9d,criticism | unfavorable judgment,NO_GLOSS,disapproval expressed by pointing out faults or shortcomings
35448,1,مطالبة,moTalaba,claim,NO_GLOSS,an assertion of a right (as to money or property)
35458,1,تعبير,t3bir,expression | formula,NO_GLOSS,a group of symbols that make a mathematical statement
35520,1,تعريف,t3rif,definition,NO_GLOSS,a concise explanation of the meaning of a word or phrase or symbol
35662,1,معاهدة,mo3ahada,accord | pact | treaty,NO_GLOSS,a written agreement between two states or sovereigns
35665,1,سلام,salam,pacification | peace | peace treaty,NO_GLOSS,a treaty to cease hostilities
35744,1,رمز,ramz,sign | signal | signaling,NO_GLOSS,any communication that encodes a message
36208,1,تفرنيسة,tfrnisa,grin | grinning | smile | smiling,NO_GLOSS,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
37122,1,موسيقا,moSi9a,music,NO_GLOSS,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
37143,1,هوا,8wa,air | line | melodic line | melodic phrase | melody | strain | tune,NO_GLOSS,a succession of notes forming a distinctive sequence
37254,1,ديسك,disk,song | vocal,NO_GLOSS,a short musical composition with words
37354,1,حجرة,7jra,rock | rock'n'roll | rock-and-roll | rock 'n' roll | rock and roll | rock music,NO_GLOSS,a genre of popular music originating in the 1950s; a blend of Black rhythm-and-blues with White country-and-western
37693,1,حديث,7dit,conversation,NO_GLOSS,the use of speech for informal exchange of views or ideas or information etc.
37705,1,نقاش,ni9ach,dialog | dialogue | duologue,NO_GLOSS,a conversation between two persons
37718,1,محادثة,mo7adata,discourse | discussion | treatment,NO_GLOSS,an extended communication (often interactive) dealing with some particular topic
37799,1,متلة,mtla,adage | byword | proverb | saw,NO_GLOSS,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
37809,1,لهجة,l8ja,accent | dialect | idiom,NO_GLOSS,the usage or vocabulary that is characteristic of a specific group of people
37943,1,دليل,dalil,arguing | argument | contention | contestation | controversy | disceptation | disputation | tilt,NO_GLOSS,a contentious speech act; a dispute where there is strong disagreement
38012,1,أنتخوتيان,entretiyan,interview,NO_GLOSS,the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
38147,1,قصة,9iSSa,narration | narrative | story | tale,NO_GLOSS,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
38245,1,أدريسّا,adrissa,address | speech,NO_GLOSS,the act of delivering a formal spoken communication to an audience
38254,1,حديث,7adith,lecture | public lecture | talk,NO_GLOSS,a speech that is open to the public
